epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.813,1.72352,2.78641,1.38925,0.06401,0.68,0.05263,0.02459,1.81447,13.1114,1.37626,0.00048,0.00048,0.00048
2,216.873,1.54141,1.47082,1.21709,0.02071,0.55,0.01602,0.00701,1.92246,inf,2.61388,0.000975149,0.000975149,0.000975149
3,234.036,1.51947,1.21163,1.23745,0.02071,0.55,0.01602,0.00701,nan,nan,nan,0.00146535,0.00146535,0.00146535
4,251.108,1.65144,1.48175,1.32689,0.00043,0.12,0.00024,5e-05,4.58229,inf,366.326,0.0019506,0.0019506,0.0019506
5,268.227,1.66797,1.43556,1.32371,0.00033,0.08,0.00021,5e-05,nan,nan,nan,0.0019604,0.0019604,0.0019604
6,285.325,1.54074,1.26874,1.27173,0.00345,0.01,0.00011,2e-05,1.89271,32.5362,2.31613,0.0019505,0.0019505,0.0019505
7,302.574,1.53295,1.19839,1.26668,0.37669,0.39,0.2895,0.10545,2.00406,2.39688,1.75052,0.0019406,0.0019406,0.0019406
8,321.013,1.47081,1.12009,1.213,0.31268,0.66,0.43588,0.20655,1.8032,2.34132,1.52457,0.0019307,0.0019307,0.0019307
9,339.738,1.46979,1.14113,1.24905,0.65395,0.48,0.58003,0.33384,1.53041,2.68392,1.27457,0.0019208,0.0019208,0.0019208
10,358.171,1.43923,1.06597,1.21579,0.07273,0.67,0.06291,0.02927,1.77678,10.9307,1.5174,0.0019109,0.0019109,0.0019109
11,376.04,1.44368,1.07202,1.18202,0.78283,0.72094,0.81257,0.44031,1.57721,1.23262,1.27438,0.001901,0.001901,0.001901
12,394.74,1.47856,1.08523,1.24861,0.0379,0.38,0.02115,0.01024,2.19998,33.641,3.6028,0.0018911,0.0018911,0.0018911
13,412.547,1.42339,1.09341,1.21266,0.7381,0.79,0.87507,0.503,1.50888,1.2476,1.2046,0.0018812,0.0018812,0.0018812
14,431.163,1.42203,1.04213,1.21176,0.62215,0.69,0.70657,0.36395,1.5369,1.54262,1.27,0.0018713,0.0018713,0.0018713
15,448.488,1.35658,1.02017,1.17448,0.845,0.85,0.89391,0.51403,1.46902,1.11988,1.23791,0.0018614,0.0018614,0.0018614
16,467.044,1.31453,0.9557,1.14137,0.84162,0.74396,0.86336,0.46554,1.59036,1.16512,1.23155,0.0018515,0.0018515,0.0018515
17,484.366,1.37155,0.99482,1.16966,0.91778,0.77,0.90876,0.52514,1.425,1.05301,1.20647,0.0018416,0.0018416,0.0018416
18,502.95,1.36087,0.98579,1.15679,0.77076,0.80695,0.87734,0.5106,1.51088,0.99873,1.2283,0.0018317,0.0018317,0.0018317
19,520.203,1.36137,1.00623,1.18172,0.64806,0.19,0.20885,0.11145,2.61534,3.55933,1.97614,0.0018218,0.0018218,0.0018218
20,537.666,1.33104,0.98783,1.1581,0.09662,0.91,0.09421,0.05184,1.51511,21.8066,1.25589,0.0018119,0.0018119,0.0018119
21,554.637,1.36882,0.99926,1.20075,0.90021,0.78,0.90341,0.54076,1.51098,1.01396,1.19986,0.001802,0.001802,0.001802
22,572.754,1.33671,0.96606,1.17172,0.72679,0.79,0.8059,0.47645,1.43934,1.22297,1.21015,0.0017921,0.0017921,0.0017921
23,590.325,1.32135,0.95345,1.15304,0.7571,0.8416,0.89517,0.52902,1.51302,1.10942,1.2055,0.0017822,0.0017822,0.0017822
24,607.517,1.33601,0.96468,1.14904,0.71917,0.78,0.84614,0.51831,1.49495,1.04378,1.19588,0.0017723,0.0017723,0.0017723
25,624.509,1.31775,0.94854,1.14849,0.84258,0.85642,0.90129,0.54371,1.45274,1.06412,1.18852,0.0017624,0.0017624,0.0017624
26,641.854,1.32489,0.96136,1.1691,0.84505,0.85,0.90366,0.53925,1.35217,0.95663,1.17437,0.0017525,0.0017525,0.0017525
27,658.574,1.278,0.92945,1.14714,0.87066,0.81,0.90657,0.54126,1.27653,0.96919,1.14057,0.0017426,0.0017426,0.0017426
28,676.049,1.28029,0.91592,1.1199,0.83879,0.88454,0.9405,0.59176,1.26277,0.99331,1.12806,0.0017327,0.0017327,0.0017327
29,694.279,1.31263,0.91025,1.15608,0.85684,0.83795,0.90658,0.54152,1.38552,1.05173,1.16306,0.0017228,0.0017228,0.0017228
30,712.005,1.298,0.92668,1.15043,0.85909,0.86,0.93694,0.57322,1.36241,0.96407,1.15411,0.0017129,0.0017129,0.0017129
31,728.811,1.29823,0.90217,1.15907,0.76756,0.87,0.90745,0.55741,1.37223,0.9526,1.14916,0.001703,0.001703,0.001703
32,745.981,1.2572,0.84832,1.13194,0.93075,0.80646,0.94442,0.56181,1.33416,0.90196,1.13525,0.0016931,0.0016931,0.0016931
33,763.029,1.3055,0.86639,1.14782,0.93381,0.84647,0.93629,0.55839,1.42831,0.93994,1.16062,0.0016832,0.0016832,0.0016832
34,779.957,1.27509,0.86092,1.11564,0.89946,0.82,0.89241,0.55119,1.37582,0.99218,1.14876,0.0016733,0.0016733,0.0016733
35,796.29,1.23315,0.84542,1.11898,0.82995,0.8297,0.91197,0.57202,1.31492,1.0361,1.14003,0.0016634,0.0016634,0.0016634
36,813.321,1.30758,0.89283,1.141,0.88909,0.80167,0.93105,0.58005,1.34313,0.95619,1.15997,0.0016535,0.0016535,0.0016535
37,829.877,1.24286,0.84013,1.1254,0.84316,0.87,0.92457,0.55788,1.35194,0.91448,1.14086,0.0016436,0.0016436,0.0016436
38,846.552,1.26687,0.85022,1.13734,0.87012,0.80393,0.92665,0.56739,1.34152,0.96443,1.12525,0.0016337,0.0016337,0.0016337
39,863.091,1.25713,0.87152,1.11983,0.92017,0.80694,0.92768,0.57913,1.38692,0.95181,1.16,0.0016238,0.0016238,0.0016238
40,880.028,1.2406,0.79633,1.1044,0.79977,0.83882,0.90009,0.55715,1.37619,0.91242,1.15594,0.0016139,0.0016139,0.0016139
41,897.091,1.25284,0.79247,1.13878,0.88526,0.78,0.88609,0.52061,1.38492,1.10552,1.16378,0.001604,0.001604,0.001604
42,914.184,1.25481,0.83151,1.12154,0.86167,0.87209,0.94098,0.59659,1.34191,0.83059,1.13036,0.0015941,0.0015941,0.0015941
43,932.511,1.23083,0.81974,1.10013,0.85251,0.83,0.90332,0.53557,1.40525,1.01006,1.16307,0.0015842,0.0015842,0.0015842
44,949.705,1.21612,0.79469,1.10774,0.84499,0.81772,0.91679,0.54898,1.3617,0.94518,1.15488,0.0015743,0.0015743,0.0015743
45,966.623,1.23667,0.81231,1.10314,0.84401,0.81162,0.91249,0.52491,1.42815,0.96481,1.16294,0.0015644,0.0015644,0.0015644
46,983.677,1.201,0.79771,1.09922,0.90664,0.84,0.94692,0.57613,1.31991,0.86495,1.11213,0.0015545,0.0015545,0.0015545
47,1001.08,1.19447,0.76757,1.1123,0.79654,0.9,0.92366,0.58274,1.25577,0.93413,1.1137,0.0015446,0.0015446,0.0015446
48,1018.16,1.21302,0.79195,1.12082,0.93234,0.88,0.95359,0.56489,1.48585,0.89282,1.15347,0.0015347,0.0015347,0.0015347
49,1034.99,1.21533,0.76775,1.09616,0.82357,0.87,0.91931,0.57256,1.44127,0.96483,1.15217,0.0015248,0.0015248,0.0015248
50,1051.93,1.16873,0.74758,1.08751,0.84541,0.82031,0.91451,0.5428,1.42147,1.03842,1.17342,0.0015149,0.0015149,0.0015149
51,1069.03,1.20485,0.77585,1.10932,0.83217,0.8,0.89874,0.54496,1.375,1.05946,1.16911,0.001505,0.001505,0.001505
52,1085.98,1.1604,0.77573,1.08997,0.90783,0.88643,0.96434,0.61075,1.29177,0.85541,1.13812,0.0014951,0.0014951,0.0014951
53,1103.56,1.16776,0.75899,1.09208,0.84543,0.88,0.94637,0.58175,1.36156,0.83747,1.15566,0.0014852,0.0014852,0.0014852
54,1120.57,1.19348,0.73637,1.0924,0.86334,0.82,0.93194,0.57857,1.36933,0.87794,1.16203,0.0014753,0.0014753,0.0014753
55,1137.72,1.18549,0.76016,1.10349,0.87726,0.86,0.94435,0.57829,1.40819,0.86397,1.18162,0.0014654,0.0014654,0.0014654
56,1154.4,1.13943,0.73221,1.07489,0.89537,0.77017,0.89731,0.54753,1.35299,1.01157,1.17907,0.0014555,0.0014555,0.0014555
57,1171.12,1.1547,0.73974,1.08594,0.90878,0.88,0.94632,0.60677,1.38271,0.85994,1.14916,0.0014456,0.0014456,0.0014456
58,1187.83,1.18164,0.74544,1.09217,0.77257,0.89,0.90714,0.56,1.38447,0.93602,1.16557,0.0014357,0.0014357,0.0014357
59,1204.68,1.14698,0.73398,1.08289,0.84692,0.88521,0.93407,0.57454,1.47176,0.95305,1.16982,0.0014258,0.0014258,0.0014258
60,1221.76,1.13942,0.73222,1.0781,0.96342,0.79011,0.94084,0.58137,1.48275,1.00442,1.17273,0.0014159,0.0014159,0.0014159
61,1239.01,1.12759,0.72006,1.06622,0.94534,0.83,0.94044,0.60115,1.31948,0.8594,1.12171,0.001406,0.001406,0.001406
62,1256,1.13109,0.68421,1.06643,0.97631,0.82426,0.94892,0.60826,1.24956,0.89535,1.10752,0.0013961,0.0013961,0.0013961
63,1273.43,1.14002,0.69698,1.07874,0.95467,0.92,0.97285,0.60997,1.26106,0.85685,1.134,0.0013862,0.0013862,0.0013862
64,1291.48,1.12599,0.68702,1.07069,0.91317,0.85,0.9348,0.57849,1.37346,1.01687,1.17109,0.0013763,0.0013763,0.0013763
65,1308.9,1.14963,0.67489,1.07116,0.8027,0.8137,0.90356,0.55623,1.37595,1.09434,1.16749,0.0013664,0.0013664,0.0013664
66,1325.77,1.1109,0.69088,1.06222,0.86587,0.88,0.92617,0.57874,1.34264,1.05361,1.14558,0.0013565,0.0013565,0.0013565
67,1343.18,1.12482,0.7061,1.071,0.85375,0.74,0.87595,0.49942,1.55849,1.02142,1.2347,0.0013466,0.0013466,0.0013466
68,1359.88,1.12737,0.68791,1.06876,0.90924,0.90164,0.95182,0.57495,1.37063,0.96158,1.13875,0.0013367,0.0013367,0.0013367
69,1377.22,1.1057,0.68412,1.04979,0.89107,0.91,0.95053,0.59566,1.34685,0.74926,1.11554,0.0013268,0.0013268,0.0013268
