epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2995,1.55927,2.95884,1.289,0.00327,0.98,0.66627,0.2664,1.55553,3.52037,1.17099,0.00048,0.00048,0.00048
2,44.0326,1.50451,1.96037,1.22051,0.48177,0.08,0.09786,0.02347,1.60465,3.60127,1.36638,0.000975149,0.000975149,0.000975149
3,55.1713,1.43852,1.71062,1.22933,0.0602,0.26,0.04098,0.0206,1.81023,3.34587,1.45654,0.00146535,0.00146535,0.00146535
4,66.1549,1.44029,1.63867,1.23705,0.69269,0.7,0.69021,0.3514,1.7214,2.03365,1.36876,0.0019506,0.0019506,0.0019506
5,76.2714,1.40951,1.50564,1.22705,0.48548,0.58,0.45512,0.22067,1.83864,2.04938,1.44383,0.0019604,0.0019604,0.0019604
6,87.6492,1.38217,1.36295,1.19302,0.88007,0.75,0.84062,0.43124,1.73995,1.53465,1.42783,0.0019505,0.0019505,0.0019505
7,96.5103,1.3924,1.32118,1.22123,0.66348,0.46,0.55344,0.23836,1.87726,2.21344,1.6333,0.0019406,0.0019406,0.0019406
8,109.126,1.39678,1.22452,1.18561,0.76534,0.79,0.79722,0.44447,1.6602,1.40742,1.32789,0.0019307,0.0019307,0.0019307
9,117.26,1.29802,1.10675,1.14474,0.78619,0.7,0.8252,0.44451,1.54015,1.2717,1.24812,0.0019208,0.0019208,0.0019208
10,131.168,1.34074,1.13954,1.20442,0.86111,0.72,0.82531,0.47342,1.48037,1.34476,1.29531,0.0019109,0.0019109,0.0019109
11,139.561,1.3278,1.099,1.17454,0.75648,0.78,0.80678,0.44061,1.5926,1.4032,1.28328,0.001901,0.001901,0.001901
12,151.594,1.3018,1.05422,1.15217,0.89254,0.8,0.89558,0.49742,1.60276,1.07091,1.28301,0.0018911,0.0018911,0.0018911
13,160.694,1.26821,0.98538,1.14372,0.78755,0.85,0.86883,0.4789,1.58513,1.11536,1.23845,0.0018812,0.0018812,0.0018812
14,171.668,1.31833,1.00289,1.17865,0.82908,0.77614,0.8475,0.45256,1.67733,1.20565,1.32942,0.0018713,0.0018713,0.0018713
15,181.35,1.27269,0.91057,1.1369,0.90564,0.76786,0.874,0.46908,1.59711,1.14149,1.31321,0.0018614,0.0018614,0.0018614
16,191.26,1.24149,0.90725,1.12454,0.85666,0.77,0.86953,0.46713,1.64543,1.3817,1.2763,0.0018515,0.0018515,0.0018515
17,202.761,1.23398,0.86222,1.12518,0.86137,0.81,0.86712,0.50477,1.6386,1.19732,1.27292,0.0018416,0.0018416,0.0018416
18,211.759,1.21618,0.89197,1.11842,0.76039,0.76166,0.80848,0.43507,1.58168,1.25487,1.29721,0.0018317,0.0018317,0.0018317
19,224.527,1.17259,0.83068,1.09017,0.80575,0.9,0.91278,0.51594,1.60042,1.11631,1.255,0.0018218,0.0018218,0.0018218
