epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1868,1.67644,3.85035,1.32456,0.33619,0.65,0.30331,0.15346,1.63002,2.89612,1.26728,0.00048,0.00048,0.00048
2,28.1286,1.52972,1.44073,1.2538,0.61793,0.40436,0.42104,0.21017,1.78801,2.60712,1.38262,0.000975149,0.000975149,0.000975149
3,43.1531,1.44563,1.2005,1.21886,0.3409,0.28,0.23421,0.09831,2.50838,2.78591,1.82121,0.00146535,0.00146535,0.00146535
4,52.8274,1.47842,1.21813,1.21926,0.01611,0.11,0.00956,0.00449,2.57603,58.2596,2.28956,0.0019506,0.0019506,0.0019506
5,67.8874,1.45814,1.18115,1.25298,0.00078,0.2,0.00043,0.00013,4.29547,inf,8.54964,0.0019604,0.0019604,0.0019604
6,77.2804,1.45418,1.05281,1.22876,0.02967,0.15,0.00919,0.00331,2.73444,7.70937,4.64349,0.0019505,0.0019505,0.0019505
7,91.4742,1.4452,1.10723,1.24268,0.71751,0.59,0.68508,0.35764,1.73919,2.66455,1.42377,0.0019406,0.0019406,0.0019406
8,101.581,1.45319,1.01665,1.20031,0.7332,0.57,0.62142,0.31513,1.82507,2.69246,1.41746,0.0019307,0.0019307,0.0019307
9,116.299,1.37668,0.99182,1.18353,0.05053,0.89,0.04944,0.02578,1.56891,40.3279,1.64867,0.0019208,0.0019208,0.0019208
10,125.748,1.36635,1.04414,1.2029,0.87486,0.76904,0.86862,0.50151,1.42827,1.40176,1.25416,0.0019109,0.0019109,0.0019109
11,140.039,1.3637,0.98275,1.17818,0.85245,0.87,0.90731,0.50796,1.52415,1.27718,1.26612,0.001901,0.001901,0.001901
12,150.26,1.33465,0.93149,1.14736,0.80755,0.67138,0.81652,0.41939,1.77464,1.31185,1.37145,0.0018911,0.0018911,0.0018911
13,164.107,1.31277,0.92696,1.16749,0.81796,0.87,0.89233,0.48727,1.78896,1.08708,1.42546,0.0018812,0.0018812,0.0018812
14,174.155,1.31484,0.92942,1.15119,0.67889,0.78,0.76212,0.40371,1.82906,1.25526,1.4022,0.0018713,0.0018713,0.0018713
15,187.974,1.31419,0.89746,1.14539,0.79613,0.74198,0.81777,0.43438,1.6829,1.13336,1.36406,0.0018614,0.0018614,0.0018614
16,197.663,1.28255,0.8826,1.13621,0.76926,0.86682,0.83117,0.45665,1.52097,1.08884,1.22604,0.0018515,0.0018515,0.0018515
17,211.41,1.28247,0.86765,1.14521,0.81898,0.76915,0.8623,0.4605,1.60213,1.06008,1.33426,0.0018416,0.0018416,0.0018416
